node,neighbor,type
10.1016/0031-9422(81)80027-1,"Rio De Janeiro ,RJ",doi_collectionSite
10.1016/0040-4020(95)00254-6,"Sao Paulo ,SP",doi_collectionSite
10.1016/S0031-9422(00)00225-9,"Campestre ,MG",doi_collectionSite
10.1016/S0031-9422(00)00477-5,"Piracanjuba ,GO",doi_collectionSite
10.1016/S0031-9422(01)00079-6,"Sao Paulo ,SP",doi_collectionSite
10.1016/S0031-9422(03)00153-5,"Manaus ,AM",doi_collectionSite
10.1016/S0031-9422(97)00238-0,"Mogi Guacu ,SP",doi_collectionSite
10.1016/S0031-9422(98)00249-0,"Sao Paulo ,SP",doi_collectionSite
10.1016/S0031-9422(99)00132-6,"Itapeva ,SP",doi_collectionSite
10.1016/j.cbi.2010.08.008,"Sao Miguel Arcanjo ,SP",doi_collectionSite
10.1016/j.jep.2007.09.020,"Pocos De Caldas ,MG",doi_collectionSite
10.1016/j.phytochem.2009.08.013,"Sao Sebastiao Do Passe ,BA",doi_collectionSite
10.1016/j.phytol.2010.11.003,"Mogi Guacu ,SP",doi_collectionSite
10.1016/j.tiv.2008.01.003,"Ilicinea ,MG",doi_collectionSite
10.1021/np0303963,"Jardinopolis ,SP",doi_collectionSite
10.1021/np060254j,"Rifaina ,SP",doi_collectionSite
10.1021/np070312g,"Araraquara ,SP",doi_collectionSite
10.1021/np100840w,"Campinas ,SP",doi_collectionSite
10.1021/np4006822,"Recife ,PE",doi_collectionSite
10.1021/np500453x,"Campinas ,SP",doi_collectionSite
10.1021/np800106x,"Varzea ,PB",doi_collectionSite
10.1021/np9004079,"Campinas ,SP",doi_collectionSite
10.1021/np900644x,"Araraquara ,SP",doi_collectionSite
10.1021/np9703656,"Teodoro Sampaio ,SP",doi_collectionSite
10.1055/s-0028-1088323,"Sao Carlos ,SP",doi_collectionSite
10.1080/14786410412331271979,"Campestre ,MG",doi_collectionSite
10.1080/14786410903335232,"Mogi Guacu ,SP",doi_collectionSite
10.1093/mutage/gep034,"Sao Miguel Arcanjo ,SP",doi_collectionSite
10.1107/S1600536803019913,"Manaus ,AM",doi_collectionSite
10.1248/bpb.31.538,"Araraquara ,SP",doi_collectionSite
10.1515/znb-2005-0715,"Poco Das Antas ,RS",doi_collectionSite
10.1515/znc-2002-5-602,"Brasilandia Do Sul ,PR",doi_collectionSite
10.1515/znc-2002-5-602,"Brasilandia Do Sul ,PR",doi_collectionSite
10.1590/S0100-40421998000600005,"Santarem ,PA",doi_collectionSite
10.1590/S0100-40422002000300002,"Mogi Guacu ,SP",doi_collectionSite
10.1590/S0100-40422004000200005,"Cunha ,SP",doi_collectionSite
10.1590/S0100-40422005000400009,"Itirapua ,SP",doi_collectionSite
10.1590/S0100-40422009000600037,"Piracicaba ,SP",doi_collectionSite
10.1590/S0100-40422010000900005,"Piracicaba ,SP",doi_collectionSite
10.1590/S0100-40422012000700020,"Divinopolis De Goias ,GO",doi_collectionSite
10.1590/S0102-695X2008000200010,"Lavras ,MG",doi_collectionSite
10.1590/S0103-50532003000300007,"Pirai Do Norte ,BA",doi_collectionSite
10.1590/S0103-50532003000300007,"Brasilandia Do Sul ,PR",doi_collectionSite
10.1590/S0103-50532005000300018,"Espirito Santo ,RN",doi_collectionSite
10.1590/S0103-50532005000400031,"Brasilandia Do Sul ,PR",doi_collectionSite
10.1590/S0103-50532006000300017,"Sao Carlos ,SP",doi_collectionSite
10.1590/S0103-50532006000300017,"Belem ,PA",doi_collectionSite
10.1590/S0103-50532009000400008,"Campinas ,SP",doi_collectionSite
10.1590/s0100-40422008000700015,"N/A,TO",doi_collectionSite
10.2174/187152010794728620,"N/A,TO",doi_collectionSite
10.2174/187152010794728620,"Santa Vitoria ,MG",doi_collectionSite
10.2174/187152010794728620,"Belem ,PB",doi_collectionSite
